codigo,titulo,autore,possui,lido,paginas,formato,genero,editora,ano
Z241o, O Pavilhão Dos Padres: Dachau 1938-1945, Guillaume Zeller,avaliable,unread,240, Fisico, history of holocaust, Contexto,2018
V321a, A Ilha Misteriosa, Júlio Verne,avaliable,unread,531, e-book, geographic Science Fiction, Clássicos Zahar,1875
C002m, Meu Nome É Amanda, Amanda Guimarães (Mandy Candy),avaliable,read,136, E-Book, Biography, Fábrica231,2016
D360o, O Conde De Monte Cristo, Alexandre Dumas,avaliable,unread,1376, E-Book, Adventure, Clássicos Zahar,1846
A350o, O Conto Da Aia, Margaret Atwood,avaliable,read,402, E-Book, dystopia, Rocco Digital,1985
E340a, A Garota Dinamarquesa, David Ebershoff,avaliable,unread,311, E-Bbook, historical fiction, Fábrica231,2015
D050m, Manual De Introdução Ao Estudo Do Direito, Dimitri Dimoulis,avaliable,unread,284, E-Book, theory of law, Revista Dos Tribunais,2016
F019o, O Mal Estar Na Civilização, Sigmund Freud,whishlist,unread,96, E-Book, Non-fiction, Penguin-Companhia,1930
H001a, Agonia Do Eros, Byung-Chul Han,whishlist,unread,96, E-Book, Essay, Editora Vozes,2012
B570c, Capitalismo Parasitário, Zygmunt Bauman,avaliable,unread,96, E-Book, Sociology, Zahar,2009
S122o, O Mercador De Veneza, William Shakespeare,whishlist,unread,136, E-Book, English theatre, Martin Claret,1600
R670m, Manual De Sociologia Jurídica, Felipe Gonçalves Silva & Jose Rodrigo Rodriguez,whishlist,unread,780, E-Book, Sociology of Law, Saraiva Jur,1995
A001a, Aparelhos Ideológicos De Estado, Louis Althusser,whishlist,unread,128, Fisico, Essay, Graal,1998
C640g, Gramsci: Um Estudo Sobre Seu Pensamento Político, Carlos Nelson Coutinho,whishlist,unread,324, E-Book, Political Science, Civilização Brasileira,1990
D670a, As Regras Do Método Sociológico, Émile Durkheim,whishlist,unread,200, Fisico, Sociology, Martins Fontes,1895
D570d, Da Divisão Do Trabalho Social, Émile Durkheim,whishlist,unread,483, E-Book, Sociology, Martins Fontes,1893
E670f, Fundamentos Da Sociologia Do Direito, Eugen Ehrlich,whishlist,unread,388, Fisico, Sociology of Law, Unb,1893
F570a, A Herança Intelectual Da Sociologia, Florestan Fernandes,whishlist,unread,100, E-Book, Sociology, Na,2000
F570s, Sociologia E Sociedade (Leituras De Introdução À Sociologia), Marialice Mencarini Foracchi,whishlist,unread,100, Fisico, Sociology, Na,2000
J670a, A Sociologia Do Direito No Brasil: Introdução Ao Debate Atual, Eliane Botelho Junqueira,whishlist,unread,206, Fisico, Sociology of Law, Lomen Juris,2002
E640a, A Ideologia Alemã, Karl Marx & Friedrich Engels,whishlist,unread,616, Ffisico, political science, Boitempo,1932
W670e, Economia E Sociedade, Max Weber,whishlist,unread,580, Fisico, Sociology, Unb,1918
F570p, Psicologias: Uma Introdução Ao Estudo De Psicologia, Ana Mercês,avaliable,unread,464, E-Book, psychology, Saraiva Uni,1990
L600a, As Aventuras De Karl Marx Contra O Barão De Munchausen, Michael Lõwy,whishlist,unread,100, Fisico, Law, Cortez,1963
B630p, Positivismo Jurídico: Lições De Filosofia Do Direito, Norberto Bobbio,whishlist,unread,100, Fisico, Philosophy of Law, Icone,1980
B200a.001, A Escrita Da História: Novas Perspectivas, Peter Burke,whishlist,unread,100, Fisico, History, Unesp,1960
V200h, História Das Mentalidades E História Cultural, Ronaldo Vanfas,whishlist,unread,130, Fisico, History, Na,1963
V200d, Domínios Da História: Ensaios De Teoria E Metodologia, Ronaldo Vanfas,whishlist,unread,130, Fisico, History, Campus,1965
J200t, Tramas De Clio: Convivências Entre Filosofia E História, H Elio Rebello Cardoso Jr,whishlist,unread,170, Fisico, History, Quatro Ventos,1970
M200h, Historis Do Casamento E Do Amor, Alan Macfarlane,whishlist,unread,100, Fisico, History, Cla. Das Letras,1970
D200a, A Historia Do Medo No Ocidente, Jean Delumeau,whishlist,unread,100, Fisico, History, Cla. Das Letras,1963
B200a.002, A Arte Da Conversação, Peter Burke,whishlist,unread,100, Fisico, History, Unesp,1950
D200o, O Tribunal Da Impotencia, Pierre Darmon,whishlist,unread,100, Fisico, History, Paz E Terra,1980
V200h.001, Historia Das Lagrimas, Anne Vincent-Buffault,whishlist,unread,100, Fisico, History, Paz E Terra,1983
H560d, Dialética Do Esclarecimento, Max Horkheimer,whishlist,unread,224, Fisico, Philosophy, Zahar,1944
B200c, Cultura Popular Na Idade Moderna, Peter Burke,whishlist,unread,492, Fisico, History, Companhia De Bolso,1967
